,City,Lat,Lng,High Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,isangel,-19.55,169.27,80.02,74,30,14.92,vu,1602368675
1,harboore,56.62,8.18,45.03,59,85,18.43,dk,1602368675
2,tazovskiy,67.47,78.7,28.2,98,99,16.69,ru,1602368675
3,shaunavon,49.65,-108.42,77.92,16,19,16.58,ca,1602368675
4,tuatapere,-46.13,167.68,55.99,81,41,4.0,nz,1602368676
5,shenkursk,62.11,42.9,46.78,96,28,5.03,ru,1602368676
6,ribeira grande,38.52,-28.7,70.36,85,20,5.1,pt,1602368676
7,bilyayivka,46.48,30.22,60.4,82,26,6.71,ua,1602368677
8,buchanan,5.88,-10.05,78.39,88,99,9.71,lr,1602368484
9,barrow,71.29,-156.79,26.6,73,90,26.4,us,1602368677
10,vaini,-21.2,-175.2,75.2,83,75,13.87,to,1602368677
11,arman,59.7,150.17,36.57,71,0,2.93,ru,1602368677
12,port elizabeth,-33.92,25.57,53.6,71,40,5.82,za,1602368677
13,rikitea,-23.12,-134.97,74.3,79,1,16.91,pf,1602368434
16,tuktoyaktuk,69.45,-133.04,30.2,92,90,7.14,ca,1602368678
17,castro,-24.79,-50.01,59.23,55,2,1.61,cl,1602368439
18,houma,29.6,-90.72,81.23,69,1,11.41,us,1602368501
19,mataura,-46.19,168.86,55.99,81,34,4.0,pf,1602368436
20,cabo san lucas,22.89,-109.91,85.28,70,20,12.75,mx,1602368456
21,caravelas,-17.71,-39.25,78.31,82,41,11.52,br,1602368679
22,tuktoyaktuk,69.45,-133.04,30.2,92,90,7.14,ca,1602368678
23,souillac,-20.52,57.52,73.4,94,75,5.82,mu,1602368679
24,baykit,61.67,96.37,21.9,92,70,5.46,ru,1602368679
25,sorong,-0.88,131.25,78.53,87,96,11.97,id,1602368680
26,yellowknife,62.46,-114.35,38.26,93,75,6.93,ca,1602368680
27,hobart,-42.88,147.33,56.23,66,20,13.87,au,1602368620
28,barrow,71.29,-156.79,26.6,73,90,26.4,us,1602368677
30,jamestown,42.1,-79.24,68.45,77,90,11.41,sh,1602368680
31,pevek,69.7,170.31,31.68,96,100,15.17,ru,1602368681
32,palembang,-2.92,104.75,75.02,94,100,4.43,id,1602368681
33,tezu,27.92,96.17,75.87,65,3,3.04,in,1602368681
34,sistranda,63.73,8.83,46.4,100,75,1.12,no,1602368681
35,busselton,-33.65,115.33,49.46,84,0,6.08,au,1602368681
36,busselton,-33.65,115.33,49.46,84,0,6.08,au,1602368681
37,ponta do sol,32.67,-17.1,66.54,64,40,11.41,cv,1602368449
38,makakilo city,21.35,-158.09,85.82,51,40,11.41,us,1602368499
